Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Argentina,Liga Profesional ,2012/2013,03/08/2012,23:00,Arsenal Sarandi,Union de Santa Fe,1,0,H,1.9,3.39,5.03,1.9,3.5,5.68,1.76,3.3,4.74,,,,,,
Argentina,Liga Profesional ,2012/2013,04/08/2012,01:10,Velez Sarsfield,Argentinos Juniors,3,0,H,2,3.24,4.55,2.18,3.3,4.62,1.97,3.12,3.96,,,,,,
Argentina,Liga Profesional ,2012/2013,04/08/2012,18:10,Racing Club,Atletico Rafaela,1,1,D,1.91,3.34,5.09,2,3.4,5.09,1.91,3.22,4.05,,,,,,
Argentina,Liga Profesional ,2012/2013,04/08/2012,20:10,Colon de Santa Fe,Lanus,1,0,H,2.4,3.14,3.41,2.45,3.24,3.41,2.32,3.06,3.14,,,,,,
Argentina,Liga Profesional ,2012/2013,04/08/2012,22:15,Quilmes,Boca Juniors,3,0,H,3.13,3.12,2.6,3.3,3.2,2.71,3.02,3.02,2.44,,,,,,
Argentina,Liga Profesional ,2012/2013,05/08/2012,17:15,Newells Old Boys,Independiente,0,0,D,2.06,3.22,4.32,2.1,3.3,4.4,1.98,3.11,3.92,,,,,,
Argentina,Liga Profesional ,2012/2013,05/08/2012,19:15,San Lorenzo,San Martin de San Juan,2,1,H,1.93,3.34,4.75,1.95,3.4,4.8,1.86,3.19,4.27,,,,,,
Argentina,Liga Profesional ,2012/2013,05/08/2012,23:30,River Plate,Belgrano,1,2,A,1.74,3.61,5.65,1.75,3.74,5.8,1.67,3.43,5.13,,,,,,
Argentina,Liga Profesional ,2012/2013,06/08/2012,22:10,Godoy Cruz,All Boys,1,1,D,2.11,3.21,4.1,2.15,3.32,4.2,2.02,3.12,3.73,,,,,,
Argentina,Liga Profesional ,2012/2013,07/08/2012,01:15,Tigre,Estudiantes de La Plata,1,2,A,2.45,3.15,3.3,2.54,3.25,3.3,2.38,3.05,3.01,,,,,,
